Cluster,Penetration,Monkey Name,Effect Size,Layers,Baseline Classification,Evoked Classification,Baseline p-value,Evoked p-value,Baseline High Firing Rate,Baseline Low Firing Rate,Evoked High Firing Rate,Evoked Low Firing Rate
23,4/17/2024,Sansa,1.2626262626262625,,up,up,0.002371064,0.008901571,1.3461538461538463,0.6282051282051282,17.628205128205128,13.961538461538462
35,4/17/2024,Sansa,1.1883974727168294,,no effect,no effect,0.30192234332804074,0.054365733999526024,1.1923076923076923,0.8589743589743589,26.525641025641026,22.32051282051282
43,4/17/2024,Sansa,1.1203830369357044,,no effect,no effect,0.48004089386775617,0.26684699967810704,0.6410256410256411,0.48717948717948717,10.5,9.371794871794872
85,4/17/2024,Sansa,1.127071823,,no effect,no effect,0.12462250537314412,0.36831513,1.3846153846153846,1.8461538461538463,2.6153846153846154,2.3205128205128207
101,4/17/2024,Sansa,1.0068337129840546,,no effect,no effect,0.14917484976637838,0.9404279347205229,4.217948717948718,4.897435897435898,5.666666666666667,5.628205128205129
107,4/17/2024,Sansa,1.097972972972973,,no effect,no effect,0.38184536638825006,0.38069045172041094,2.1794871794871793,2.4743589743589745,4.166666666666667,3.7948717948717947
108,4/17/2024,Sansa,1.2132701421800947,,no effect,no effect,0.8100096037258605,0.30459432,1.4487179487179487,1.5256410256410255,3.282051282051282,2.7051282051282053
109,4/17/2024,Sansa,1.0268656716417912,,no effect,no effect,0.3317126297124864,0.8031994243821918,2.0641025641025643,2.4743589743589745,4.410256410256411,4.294871794871795
114,4/17/2024,Sansa,1.1493212669683257,,no effect,no effect,0.9628829773097278,0.22866742933996081,1.7564102564102564,1.7692307692307692,3.2564102564102564,2.8333333333333335
117,4/17/2024,Sansa,1.1703958691910499,,no effect,up,0.5169202749759878,0.043954727428288355,1.5897435897435896,1.3461538461538463,8.717948717948717,7.448717948717949
130,4/17/2024,Sansa,0.9917695473251029,,no effect,no effect,0.22318641635098996,0.9125263492804637,2.8461538461538463,2.3461538461538463,9.269230769,9.346153846153847
137,4/17/2024,Sansa,0.9078498293515358,,no effect,no effect,0.7543000706544225,0.35130371265315297,1.6794871794871795,1.5897435897435896,3.41025641,3.7564102564102564
138,4/17/2024,Sansa,1.2113564668769718,,up,up,0.019735621911693497,0.035814697,2.2051282051282053,1.4615384615384615,4.923076923076923,4.064102564102564
143,4/17/2024,Sansa,1.0526315789473686,,up,no effect,0.012937093792009219,0.532388971,1.9230769230769231,1.1538461538461537,6.410256410256411,6.089743589743589
146,4/17/2024,Sansa,1.1877394636015326,,no effect,no effect,0.4905966766865948,0.18745958540634589,2.871794871794872,3.1666666666666665,3.9743589743589745,3.3461538461538463
148,4/17/2024,Sansa,1.0335570469798658,,no effect,no effect,0.22001440648603432,0.8191188063884037,1.294871794871795,1.064102564102564,1.9743589743589745,1.9102564102564104
153,4/17/2024,Sansa,1.604316547,,up,up,0.00033999,1.6356477046114823e-06,1.6538461538461537,0.9871794871794872,5.717948717948718,3.5641025641025643
164,4/17/2024,Sansa,0.6980676328502416,,no effect,no effect,0.22174271227989292,0.058636415,5.512820512820513,6.4743589743589745,3.7051282051282053,5.3076923076923075
165,4/17/2024,Sansa,1.0380952380952382,,no effect,no effect,0.8114426041031264,0.6977579872399091,1.7435897435897436,1.6666666666666667,4.1923076923076925,4.038461538461538
166,4/17/2024,Sansa,1.2490118577075098,,no effect,up,0.20481702485068579,0.016662272987985817,3.448717948717949,3.051282051282051,4.051282051282051,3.2435897435897436
167,4/17/2024,Sansa,0.8648648648648649,,no effect,no effect,0.4460778083536716,0.15467317584623655,8.884615384615385,8.602564102564102,6.9743589743589745,8.064102564102564
168,4/17/2024,Sansa,1,,no effect,no effect,0.37879372792714106,1,3.6923076923076925,4.217948717948718,5.012820512820513,5.012820512820513
169,4/17/2024,Sansa,0.9499999999999998,,no effect,no effect,0.17927899723776639,0.6111789457410391,2.3205128205128207,2.641025641025641,2.4358974358974357,2.5641025641025643
176,4/17/2024,Sansa,1.0656565656565657,,no effect,no effect,0.594239568,0.3623220307040639,7.576923076923077,7.333333333333333,10.820512820512821,10.153846153846153
179,4/17/2024,Sansa,0.9137931034482758,,down,no effect,0.007392303,0.4706836840802735,1.564102564102564,2.2051282051282053,2.0384615384615383,2.230769230769231
182,4/17/2024,Sansa,1.3986928104575165,,no effect,up,0.8125488297251877,0.014415678073493803,1.3461538461538463,1.294871794871795,2.7435897435897436,1.9615384615384615
184,4/17/2024,Sansa,0.9770114942528735,,down,no effect,0.000347314,0.8470883402825916,1.6282051282051282,2.576923076923077,2.1794871794871793,2.230769230769231
186,4/17/2024,Sansa,1.0326086956521738,,no effect,no effect,0.21442464689529306,0.7875592396954507,3.5,4.102564102564102,4.871794871794871,4.717948717948718
189,4/17/2024,Sansa,1.0214285714285714,,no effect,no effect,0.7979302913671801,0.8057684983390494,4.435897435897436,4.333333333333333,5.5,5.384615384615385
196,4/17/2024,Sansa,1.054726368159204,,no effect,no effect,0.14490538301293882,0.552975397,4.410256410256411,5.064102564102564,5.435897435897436,5.153846153846154
213,4/17/2024,Sansa,1.0875912408759125,,no effect,no effect,0.066974388,0.3688673155901375,4.435897435897436,5.435897435897436,7.641025641025641,7.0256410256410255
231,4/17/2024,Sansa,1.0550161812297736,,no effect,no effect,0.9479160437909688,0.6381100724290615,3.448717948717949,3.423076923076923,4.179487179,3.9615384615384617
232,4/17/2024,Sansa,1.2042553191489362,,no effect,no effect,0.1443397060058077,0.12634820575100808,2.8461538461538463,3.282051282051282,3.628205128205128,3.0128205128205128
234,4/17/2024,Sansa,1.2285714285714286,,up,no effect,0.047833051,0.051063012641183556,3.5641025641025643,2.8333333333333335,4.410256410256411,3.58974359
235,4/17/2024,Sansa,1.0327868852459017,,no effect,no effect,0.5425807464058264,0.7910129370161996,4.051282051282051,3.7564102564102564,3.230769230769231,3.128205128205128
240,4/17/2024,Sansa,1.2439024390243902,,no effect,no effect,0.9520321792985551,0.12044933703285014,0.9230769230769231,0.9102564102564102,2.6153846153846154,2.1025641025641026
245,4/17/2024,Sansa,1.412828947368421,,no effect,up,0.16577004610385404,0.002445212,3.628205128205128,2.948717948717949,11.012820512820513,7.794871794871795
250,4/17/2024,Sansa,1.343065693430657,,no effect,no effect,0.7237944650339763,0.077727592,1.3461538461538463,1.2435897435897436,4.717948717948718,3.5128205128205128
286,4/17/2024,Sansa,1.4726368159203977,,no effect,up,0.35384794190760127,0.006501171,1.1538461538461537,0.8076923076923077,7.589743589743589,5.153846153846154
290,4/17/2024,Sansa,1.2325581395348837,,no effect,no effect,0.7262238177988716,0.12760121045615286,1.3461538461538463,1.4102564102564104,2.0384615384615383,1.6538461538461537
309,4/17/2024,Sansa,1.3125,,no effect,no effect,0.15515294819237332,0.15466619802801213,0.9230769230769231,0.7051282051282052,0.8076923076923077,0.6153846153846154
,,,,,,,,,,,,
0,4/18/2024,Sansa,0.6229050279329609,,no effect,down,0.10978893756531773,0.029229661981542414,4.343283582089552,6.104477611940299,3.328358208955224,5.343283582089552
2,4/18/2024,Sansa,0.9528619528619531,,no effect,no effect,0.16781452618060397,0.7502797402326589,1.5820895522388059,1.9850746268656716,4.223880597014926,4.432835820895522
3,4/18/2024,Sansa,1.1077504725897922,,no effect,no effect,0.6492266181220985,0.22833323489461366,7.388059701492537,7.134328358208955,8.746268656716419,7.895522388059701
10,4/18/2024,Sansa,1.4739884393063585,,no effect,up,0.1882071497018332,0.001225041,7.686567164179104,6.567164179104478,11.417910447761194,7.746268656716418
35,4/18/2024,Sansa,1.073846153846154,,no effect,no effect,0.5132216289904601,0.48436509623046997,4.1940298507462686,3.8955223880597014,5.208955223880597,4.850746268656716
36,4/18/2024,Sansa,1.0678513731825523,,no effect,no effect,0.30484554199445896,0.5371532767540352,9.388059701492537,8.880597014925373,9.865671641791044,9.238805970149254
38,4/18/2024,Sansa,1.0544747081712063,,no effect,no effect,0.6926222966507558,0.5966836810996687,3.9402985074626864,3.7761194029850746,4.044776119402985,3.8358208955223883
50,4/18/2024,Sansa,1.1724890829694323,,no effect,up,0.080174364,0.010094357320315812,7.104477611940299,6.1940298507462686,8.014925373134329,6.835820895522388
52,4/18/2024,Sansa,0.7014925373134329,,no effect,down,0.7300444719193959,0.009826334,4.029850746268656,4.179104478,2.8059701492537314,4
53,4/18/2024,Sansa,1.2178770949720672,,no effect,no effect,0.1834482995600395,0.12129147697506008,2.716417910447761,2.328358208955224,3.253731343283582,2.671641791044776
62,4/18/2024,Sansa,1.069204152249135,,no effect,no effect,0.167737283,0.34481194649316504,8.761194029850746,8.044776119402986,9.223880597014926,8.626865671641792
63,4/18/2024,Sansa,0.9468085106382979,,up,no effect,0.024736292888465006,0.48023777091758857,7.343283582089552,6.298507462686567,6.641791044776119,7.014925373134329
75,4/18/2024,Sansa,1.0757855822550833,,no effect,no effect,0.9740588752755046,0.19929844659127796,7.597014925373134,7.611940298507463,8.686567164179104,8.074626865671641
86,4/18/2024,Sansa,1.0571992110453647,,up,no effect,0.001144681,0.37063606166317886,8.552238805970148,6.910447761,8,7.567164179104478
110,4/18/2024,Sansa,1.0595238095238095,,no effect,no effect,0.10362506687692825,0.7012433666328537,4.044776119402985,3.1940298507462686,5.313432835820896,5.014925373134329
113,4/18/2024,Sansa,1.1538461538461537,,up,no effect,0.024208281102684453,0.15883757770507567,1.9104477611940298,1.2537313432835822,4.925373134328358,4.268656716417911
114,4/18/2024,Sansa,0.7441860465116279,,down,no effect,0.001460567,0.10999427070289976,0.7761194029850746,1.3880597014925373,1.4328358208955223,1.9253731343283582
121,4/18/2024,Sansa,1.25,,no effect,no effect,0.35143612688225956,0.19941930586072912,1.0746268656716418,1.4179104477611941,2.537313432835821,2.029850746268657
153,4/18/2024,Sansa,1.1728395061728396,,no effect,no effect,0.074439244,0.30671595093237664,1.462686567164179,1.0895522388059702,1.4179104477611941,1.208955223880597
154,4/18/2024,Sansa,1.2105263157894737,,no effect,no effect,0.5736882590365483,0.2050459385277483,1.8208955223880596,2,3.4328358208955225,2.8358208955223883
155,4/18/2024,Sansa,1.4528301886792452,,up,up,0.010208336545823794,0.000412532,5.492537313432836,4.402985074626866,6.895522388059701,4.746268656716418
175,4/18/2024,Sansa,1.008298755186722,,no effect,no effect,0.2092121274635219,0.9231938708411431,5.2388059701492535,5.940298507462686,7.253731343283582,7.1940298507462686
210,4/18/2024,Sansa,1.3529411764705883,,no effect,no effect,0.7714242122871898,0.06276965,0.7313432835820896,0.6716417910447762,2.0597014925373136,1.5223880597014925
211,4/18/2024,Sansa,2.0576923076923075,,up,up,0.000506707,1.9990983138717504e-05,1,0.373134328,3.1940298507462686,1.5522388059701493
232,4/18/2024,Sansa,1.4857142857142858,,no effect,up,0.19414414902520577,0.00562945,1.9104477611940298,1.4179104477611941,13.194029850746269,8.880597014925373
263,4/18/2024,Sansa,1.0555555555555556,,no effect,no effect,0.1953870053453133,0.5326206345251461,2.8208955223880596,2.5522388059701493,2.8358208955223883,2.6865671641791047
264,4/18/2024,Sansa,1.0662983425414365,,no effect,no effect,0.7619342183902946,0.4266885793882784,2.582089552238806,2.5223880597014925,2.8805970149253732,2.701492537313433
4,5/23/2024,Sansa,1.638121546961326,,no effect,up,0.5477822990801533,0.002178345,0.5461538461538461,0.45384615384615384,4.561538461538461,2.7846153846153845
7,5/23/2024,Sansa,0.9685302390998594,,no effect,no effect,0.8467301039114958,0.573137162,4.315384615384615,4.161538461538462,42.37692307692308,43.753846153846155
8,5/23/2024,Sansa,0.8594982078853046,,no effect,no effect,0.4460168689975529,0.073616474,1.0384615384615385,0.8538461538461538,9.223076923076922,10.73076923076923
16,5/23/2024,Sansa,1.0496067755595888,,no effect,no effect,0.5658495784552455,0.6120466932828539,0.9846153846153847,1.1076923076923078,13.346153846153847,12.715384615384615
17,5/23/2024,Sansa,0.9872996673722407,,no effect,no effect,0.7668244454174723,0.8411309951344313,1.1384615384615384,1.2384615384615385,25.115384615384617,25.43846153846154
19,5/23/2024,Sansa,0.9942726231386025,,no effect,no effect,0.8028475129891326,0.9360213986019754,1.3153846153846154,1.3846153846153846,13.353846153846154,13.430769230769231
23,5/23/2024,Sansa,1.056271981242673,,no effect,no effect,0.46093881699941064,0.3347890443438807,6.246153846153846,6.446153846153846,6.930769230769231,6.561538461538461
25,5/23/2024,Sansa,1.1268591426071741,,no effect,no effect,0.8273202242714447,0.077089538,3.9461538461538463,3.8153846153846156,19.815384615384616,17.584615384615386
29,5/23/2024,Sansa,0.8665626219274289,,no effect,no effect,0.22808999935823157,0.053436780091657164,3.0153846153846153,3.5076923076923077,17.084615384615386,19.715384615384615
34,5/23/2024,Sansa,0.8196359624931053,,no effect,down,0.3481889929797638,0.000449488,6.676923076923077,5.876923076923077,22.861538461538462,27.892307692307693
40,5/23/2024,Sansa,0.7960238568588469,,no effect,down,0.8448113384944718,3.7789708026788905e-05,4.076923076923077,4.1923076923076925,15.4,19.346153846153847
44,5/23/2024,Sansa,0.6926070038910506,,down,down,0.04326408,0.001445122,0.9230769230769231,1.2692307692307692,1.3692307692307693,1.976923076923077
46,5/23/2024,Sansa,0.8412887828162291,,down,down,0.043783065,0.010075839942569054,3.6076923076923078,4.269230769230769,5.423076923076923,6.446153846153846
54,5/23/2024,Sansa,0.9765060240963855,,down,no effect,0.019756775915050383,0.6457343497793281,7.3307692307692305,8.723076923076922,12.46923076923077,12.76923076923077
55,5/23/2024,Sansa,1.0188284518828452,,no effect,no effect,0.20148650169701132,0.7089395653524768,6.553846153846154,7.007692307692308,7.492307692307692,7.3538461538461535
58,5/23/2024,Sansa,0.9913269731136167,,no effect,no effect,0.9340044033552457,0.8575592573162893,9.469230769,9.5,8.792307692307693,8.869230769
61,5/23/2024,Sansa,0.9117997616209774,,no effect,no effect,0.43982332838560334,0.19297033580779996,2.169230769230769,2.4384615384615387,5.884615384615385,6.453846153846154
62,5/23/2024,Sansa,0.9936356404136834,,no effect,no effect,0.732616137,0.8729320509893274,10.638461538461538,10.746153846153845,9.607692307692307,9.669230769230769
63,5/23/2024,Sansa,1.743801652892562,,up,up,5.465367637160295e-07,5.685149466896285e-08,3.9076923076923076,1.7923076923076924,6.492307692307692,3.723076923076923
66,5/23/2024,Sansa,0.8501529051987767,,down,down,0.031952303,0.018268871859840198,4.869230769230769,6.092307692307692,10.692307692307692,12.576923076923077
69,5/23/2024,Sansa,0.9438997821350763,,no effect,no effect,0.6713953173437479,0.23684625797333325,8.215384615384615,8.484615384615385,13.330769230769231,14.123076923076923
70,5/23/2024,Sansa,1.032520325203252,,no effect,no effect,0.6881899765756111,0.7338353571919061,6.730769230769231,6.584615384615384,6.838461538461538,6.623076923076923
71,5/23/2024,Sansa,1.0154761904761904,,no effect,no effect,0.17845623784174422,0.8669654388876362,3.5846153846153848,4.053846153846154,6.561538461538461,6.461538461538462
72,5/23/2024,Sansa,0.9148014440433213,,down,no effect,0.012699371349389574,0.12311431047998012,4.3,5.446153846153846,9.746153846153845,10.653846153846153
73,5/23/2024,Sansa,0.8450092994420335,,down,down,0.007126373,0.008108503,5.023076923076923,6.576923076923077,10.484615384615385,12.407692307692308
74,5/23/2024,Sansa,0.851512374,,down,down,0.018570484812506134,0.000292716,11.376923076923077,14.1,28.584615384615386,33.56923076923077
79,5/23/2024,Sansa,0.9265091863517061,,no effect,no effect,0.38083238291568544,0.10110910375116394,5.8076923076923075,6.430769230769231,29.869230769230768,32.238461538461536
80,5/23/2024,Sansa,0.8579365079365081,,no effect,no effect,0.8090785322335254,0.071442552,6.7384615384615385,6.653846153846154,8.315384615384616,9.692307692307692
82,5/23/2024,Sansa,0.9206619615478219,,no effect,no effect,0.6179012703487048,0.074316192,3.1153846153846154,2.9,29.1,31.607692307692307
84,5/23/2024,Sansa,0.9669273743016761,,no effect,no effect,0.9452913026280392,0.3817271906303964,6.946153846153846,6.992307692307692,33.284615384615385,34.42307692307692
87,5/23/2024,Sansa,0.965034965,,no effect,no effect,0.34333813971062666,0.8342385069659859,1.5692307692307692,1.8153846153846154,1.0615384615384615,1.1
88,5/23/2024,Sansa,0.8942137025204119,,no effect,down,0.18302200260400353,0.004714247,4.623076923076923,5.2846153846153845,19.376923076923077,21.66923076923077
94,5/23/2024,Sansa,0.8910034602076125,,no effect,no effect,0.2264142769478488,0.098889278,1.5461538461538462,1.8923076923076922,3.9615384615384617,4.446153846153846
103,5/23/2024,Sansa,0.8666666666666667,,no effect,no effect,0.35175047616129806,0.2004979758334024,5.123076923076923,4.6923076923076925,3.7,4.269230769230769
108,5/23/2024,Sansa,1.0655526992287918,,no effect,no effect,0.6534767856311163,0.2811317483338746,3.9692307692307693,4.1,6.376923076923077,5.984615384615385
109,5/23/2024,Sansa,0.9960845732184809,,down,no effect,0.021164485,0.950270944,7.530769230769231,8.507692307692308,9.784615384615385,9.823076923076924
110,5/23/2024,Sansa,1.012605042016807,,no effect,no effect,0.8999894520282841,0.8233015793653634,5.7384615384615385,5.792307692307692,9.269230769,9.153846153846153
115,5/23/2024,Sansa,0.8814655172413792,,no effect,no effect,0.055681187,0.15562600531407844,3.4,3.9923076923076923,3.146153846153846,3.5692307692307694
120,5/23/2024,Sansa,0.8713910761154856,,no effect,no effect,0.7646130628820692,0.11081737079797822,2.0153846153846153,1.9461538461538461,2.5538461538461537,2.9307692307692306
121,5/23/2024,Sansa,0.9862227324913891,,no effect,no effect,0.23833040133869157,0.8176467534751802,4.038461538461538,4.438461538461539,6.607692307692307,6.7
125,5/23/2024,Sansa,1.0014492753623188,,no effect,no effect,0.7483119999549277,0.987782089,11.561538461538461,11.192307692307692,10.63076923076923,10.615384615384615
127,5/23/2024,Sansa,0.896551724,,down,no effect,6.304966558126378e-05,0.065983875,6.076923076923077,7.776923076923077,6.4,7.138461538461539
132,5/23/2024,Sansa,1.3333333333333333,,no effect,up,0.11875161373394105,0.019336009,1.2846153846153847,1,2,1.5
133,5/23/2024,Sansa,1.067476383265857,,no effect,no effect,0.23683502218765598,0.3768309925040968,3.576923076923077,3.9615384615384617,6.084615384615384,5.7
135,5/23/2024,Sansa,1.0401721664275467,,no effect,no effect,0.3192540994034592,0.5321305052042967,5.930769230769231,6.230769230769231,5.576923076923077,5.361538461538461
140,5/23/2024,Sansa,1.165803109,,no effect,no effect,0.3404706596331122,0.051649824,4.846153846153846,4.553846153846154,5.1923076923076925,4.453846153846154
142,5/23/2024,Sansa,0.9809358752166376,,no effect,no effect,0.4724231889530749,0.8534886140377715,3.5923076923076924,3.876923076923077,4.3538461538461535,4.438461538461539
145,5/23/2024,Sansa,0.7085427135678392,,down,down,0.000332106,0.009930351,1.0538461538461539,1.6615384615384616,1.0846153846153845,1.5307692307692307
157,5/23/2024,Sansa,1.1173245614035088,,no effect,no effect,0.2407348384937015,0.059239391,7.430769230769231,7.038461538461538,7.838461538461538,7.015384615384615
159,5/23/2024,Sansa,1.0726855394032135,,down,no effect,0.003539446,0.21767898142414116,7.6,8.815384615384616,10.784615384615385,10.053846153846154
163,5/23/2024,Sansa,1.0825565912117177,,no effect,no effect,0.9688263419199198,0.21151399167801724,6.1461538461538465,6.161538461538462,6.253846153846154,5.776923076923077
164,5/23/2024,Sansa,1.0027447392497713,,no effect,no effect,0.18642924131974334,0.9500050698636173,9.215384615384615,8.723076923076922,8.430769230769231,8.407692307692308
168,5/23/2024,Sansa,1.142857142857143,,no effect,no effect,0.29309173788570314,0.16672334666841312,1.5,1.323076923076923,1.7230769230769232,1.5076923076923077
170,5/23/2024,Sansa,0.9740853658536587,,no effect,no effect,0.8455744444353988,0.7487617007259977,3.8923076923076922,3.830769230769231,4.915384615384616,5.046153846153846
172,5/23/2024,Sansa,1.0833333333333335,,no effect,no effect,0.9786569992197055,0.2775623742475154,3.3923076923076922,3.3846153846153846,4.9,4.523076923076923
173,5/23/2024,Sansa,1.0322916666666666,,no effect,no effect,0.096456896,0.48060797988233916,7.269230769230769,6.661538461538462,7.623076923076923,7.384615384615385
183,5/23/2024,Sansa,1.0429362880886426,,no effect,no effect,0.694223071,0.534049334,4.884615384615385,4.753846153846154,5.792307692307692,5.553846153846154
